MUNICIPALITY OF MEDINA (SC),IP,MDNA01_00_304-MDNA01_00_304_IP2,Basic,HAJJ,24.460019,39.602067,BALAD,MADINAH,3,WESTERN,0,5,CIRCUIT,1,--,--
UNITED INSTALMENT SALES CO. LTD. SC,IP,JEDA18-JEDA18_IP130,Basic_Vip,VIP,21.5815277777778,39.2234166666667,,,,,,0,CIRCUIT,0,--,--
KING KHALID UNIVERSITY ABHA (SC),IP,ABHA01-ABHA01_IP270,Basic_Vip,VIP,18.22845,42.51191,,,,,,0,CIRCUIT,0,--,--
EEMAR MIDDLE EAST CO.,IP,JEDA06_00_222-JEDA06_00_222_IP1,Basic_Vip,VIP,21.624722,39.136667,MAHAMMADIYAH,JEDDAH,1,WESTERN,0,0,CIRCUIT,1,--,--
SAUDI BRITISH BANK (SC),IP,RIYADH-RIYADH_IP2571,Basic_Vip,VIP,24.6588888888889,46.7111111111111,,,,,,0,CIRCUIT,0,--,--
AL FANAR COMPANY (SC),IP,RYAD16_42_203-RYAD16_42_203_IP2,Basic_Vip,VIP,24.7747222222222,46.68,,,,,,0,CIRCUIT,0,--,--
GENERAL CARS SYNDICATE (SC),IP,MAKA22_00_407-MAKA22_00_407_IP3,Basic,HAJJ,21.4403055555556,39.7859194444444,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,MAKKAH-MAKKAH_IP223,Basic_Vip,VIP,21.441877,39.803566,BIBAN,MAKKAH,1,WESTERN,0,0,CIRCUIT,1,--,--
SAMIS - PASSPORT,IP,MRGBQIAA-MRGBQIAA_IP2,Basic_Vip,VIP,26.34285,43.95618,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,MAKKAH-MAKKAH_IP273,Basic,HAJJ,21.384472,39.87255,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,MAKKAH-MAKKAH_IP675,Basic,HAJJ,21.4275861111111,39.906825,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),IP,RYAD01_00_103-RYAD01_00_103_IP1,Basic_Vip,VIP,24.657222,46.7175,,,,,,0,CIRCUIT,0,--,--
MOI - Department of Telecommunications & Wireless,IP,SAKA09_00_203-SAKA09_00_203_IP3,Basic_Vip,VIP,29.955857,40.212084,SAKAKAH,ALJOUF,3,EASTERN,0,0,CIRCUIT,1,--,--
SAUDI TELECOM COMPANY -  Personal Sector,PLL,MAKKAH-RIYADH_PLL62,Basic,HAJJ,21.485574,39.95173,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,JEDDAH-JEDDAH_IP1005,Basic_Vip,VIP,21.911042,39.371783,MUSHRIFAH,JEDDAH,1,WESTERN,0,0,CIRCUIT,1,--,--
MODA-RSAF (SC),PLL,DAMMAM-RIYADH_PLL36,Basic_Vip,VIP,24.695647,46.717178,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,MAKKAH-MAKKAH_IP621,Basic,HAJJ,21.405,39.871111,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),IP,SLHNKHAD-SLHNKHAD_IP6,Basic,HAJJ,21.3861694444444,39.8607361111111,,,,,,0,CIRCUIT,0,COPPER,--
MINISTRY OF EDUCATION (SC),IP,ABHA01_00_216-ABHA01_00_216_IP6,Basic_Vip,VIP,18.201389,42.5075,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-PASSPORT(SC),IP,RYADAP-RYADAP_IP31,Basic_Vip,VIP,24.97775,46.6899722222222,,,,,,0,CIRCUIT,0,--,--
MODA-RSAF (SC),PLL,RIYADH-RIYADH_PLL383,Basic_Vip,VIP,24.661675,46.676769,,,,,,0,CIRCUIT,0,--,--
ROYAL PALACE-KING ABDULLAH BIN ABDULAZIZ (SC),IP,TWWL93_00_301-TWWL93_00_301_IP3,Basic_Vip,VIP,22.0992,39.030889,,,,,,0,CIRCUIT,0,--,--
HOLY MOSQUE MAKKAH (SC),IP,MADINAH-MADINAH_IP886,Basic,HAJJ,24.467666999999999,39.609397000000001,,,,,,0,CIRCUIT,0,--,--
SAUDI ARABIAN AIRLINES (SC),IP,KNDRKHAD-KNDRKHAD_IP1,Basic_Vip,VIP,21.500751,39.201634,SAHEEFAH,JEDDAH,1,WESTERN,0,0,CIRCUIT,1,--,--
EFFAT UNIVERSITY,DIA,NYMNKHBB-RAIDRDAI_DIA1,Basic_Vip,VIP,21.478334,39.211389,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),DIA,JEDDAH-MADINAH_DIA12,Basic,HAJJ,21.48002,39.183067,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,MAKKAH-MAKKAH_IP680,Basic,HAJJ,21.3539722222222,39.9812555555556,,,,,,0,CIRCUIT,0,--,--
AL JOMAIH AUTOMOTIVE COMPANY,IP,RIYADH-RIYADH_IP1380,Basic_Vip,VIP,24.7191194444444,46.7705416666667,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-SPECIAL FORCE (SC),IP,DHBNKHAS-DHBNKHAS_IP8,Basic_Vip,VIP,21.873409,39.121869,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,MAKA23_00_105-MAKA23_00_105_IP4,Basic,HAJJ,21.407438,39.887589,,,,,,0,CIRCUIT,0,--,--
SIEMENS,IP,JEDA02-JEDA02_IP293,Basic_Vip,VIP,21.5319444444444,39.1791666666667,MUSHRIFAH,JEDDAH,2,WESTERN,0,0,CIRCUIT,1,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,MAKA23_21-MAKA23_21_IP19,Basic,HAJJ,21.3539722222222,39.9812555555556,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INFORMATION-HEAD QUARTER (SC),IP,MAKA23_12-MAKA23_12_IP2,Basic,HAJJ,21.381327,39.932031,AZIZIYAH,MAKKAH,0,WESTERN,2,0,CIRCUIT,2,COPPER,--
MINISTRY OF HAJJ (SC),IP,MADINAH-MADINAH_IP73,Basic,HAJJ,24.545122,39.697339,,,,,,0,CIRCUIT,0,--,--
AL JOMAIH AUTOMOTIVE COMPANY,DIA,RIYADH-RIYADH_DIA1499,Basic_Vip,VIP,24.726247,46.78274167,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF EDUCATION (SC),IP,ARAR13-ARAR13_IP60,Basic_Vip,VIP,30.97777,41.02025,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-BORDER GUARD (SC),IP,RYAD07_00_250-RYAD07_00_250_IP3,Basic_Vip,VIP,24.7091666666667,46.7994444444444,KHURAIS,RIYADH,3,CENTRAL,0,0,CIRCUIT,1,--,--
MODA-STRATEGIC MISSILE ELECTRONICALLY COMMUNICATION DEPT,PLL,RIYADH-RIYADHDIST_PLL36,Basic_Vip,VIP,24.745269,46.744618,,,,,,0,CIRCUIT,0,FIBER,--
MODA-RSAF (SC),PLL,AWJYKH0A000-SHAR98_00_202_PLL1,Basic_Vip,VIP,21.47002778,40.53025,,,,,,0,CIRCUIT,0,FIBER,UP
GID - Makkah District,IP,MAKKAH-MAKKAH_IP550,Basic,HAJJ,21.35576,39.87133,,,,,,0,CIRCUIT,0,--,--
MODA-RSAF (SC),PLL,TABUK-TABUK_PLL7,Basic_Vip,VIP,28.37855,36.61384,,,1,,0,0,CIRCUIT,1,--,--
MINISTRY OF EDUCATION (SC),IP,SAKA09-SAKA09_IP165,Basic_Vip,VIP,29.94541,40.191756,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),DIA,MAKKAH-RIYADH_DIA24,Basic,HAJJ,24.75433,46.688239,,,,,,0,CIRCUIT,0,--,--
Private Affairs of King Salman bin Abdulaziz,IP,MAKKAH-MAKKAH_IP1508,Basic,HAJJ,21.403181,39.886511,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),IP,BAHR92_11_104-BAHR92_11_104_IP1,Basic,HAJJ,21.446501,39.553405,MUJAMMAH,JEDDAH,0,WESTERN,2,0,CIRCUIT,1,COPPER,--
MANABIR AL HAMRA,IP,MAKKAH-MAKKAH_IP1543,Basic,HAJJ,21.421741,39.856153,,,,,,0,CIRCUIT,0,--,--
MODA-RSAD (SC),PLL,DMAM02_42_302-RYAD07_00_403_PLL1,Basic_Vip,VIP,26.415962,50.092249,,,,,,0,CIRCUIT,0,--,--
ORANGE,IP,KNDRKHAD-KNDRKHAD_IP4,Basic_Vip,VIP,21.500751,39.201634,,,,,,0,CIRCUIT,0,--,--
MODA-RSAD (SC),PLL,JEDA18_00_104-TAIF32_17_213_PLL1,Basic_Vip,VIP,21.659722,39.216389,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,JZANJZAC-JZANJZAC_IP1,Basic_Vip,VIP,16.871106,42.573077,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),DIA,MAKKAH-RIYADH_DIA13,Basic,HAJJ,24.75433,46.688239,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,JEDAAP-JEDAAP_IP102,Basic_Vip,VIP,21.669384,39.151192,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-TABUK EMIRATES (SC),IP,MRUJTBAF-MRUJTBAF_IP1,Basic_Vip,VIP,28.4117,36.56137,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),DIA,KAARKHAA-RYAD06_43_DIA1,Basic,HAJJ,21.702779,39.140834,,,,,,0,CIRCUIT,0,--,--
SAMIS - PRISON,IP,RYAD02-RYAD02_IP575,Basic_Vip,VIP,24.6833888888889,46.7375,MALAZ,RIYADH,1,CENTRAL,0,0,CIRCUIT,1,--,--
GID ? Riyadh District,IP,JNADRDAM-JNADRDAM_IP2,Bronze,HAJJ,24.8825,46.9236111111111,ALKHALEEJ,RIYADH,3,CENTRAL,0,0,CIRCUIT,1,--,--
MINISTRY OF HEALTH (SC),IP,MAKA22-MAKA22_IP239,Basic,HAJJ,21.4323805555556,39.8165388888889,,,,,,0,CIRCUIT,0,--,--
ABDULATIF JAMEEL COMPANY LTD.,IP,MDNA01-MDNA23_IP4,Basic_Vip,VIP,24.465443,39.60813,,,,,,0,CIRCUIT,0,--,--
SAMIS - MINISTRY OF INTERIOR-HEAD QUARTER,IP,RYAD06_00_206-RYAD06_00_206_IP1,Basic_Vip,VIP,24.6852777777778,46.7077777777778,ULAYA,RIYADH,2,CENTRAL,0,0,CIRCUIT,2,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,MAKA23-MAKA23_IP112,Basic_Vip,VIP,21.42175,39.8561388888889,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),DIA,MADINAH-RIYADH_DIA20,Basic,HAJJ,24.472717,39.618897,,,,,,0,CIRCUIT,0,--,--
MODA-RSAF (SC),PLL,DAMMAM-JUBAIL_PLL28,Basic_Vip,VIP,26.2825,50.155556,,,1,,0,0,CIRCUIT,1,--,--
SAMIS - PASSPORT,IP,HAMRTBAJ-HAMRTBAJ_IP1,Basic_Vip,VIP,29.167091,36.073943,SALMAN/TABUK,TABUK,1,WESTERN,0,0,CIRCUIT,1,--,--
SAUDI CUSTOMS (SC),IP,RYAD07_00_315-RYAD07_00_315_IP45,Basic_Vip,VIP,24.6994444444444,44.7416666666667,,,,,,0,CIRCUIT,0,--,--
UMM AL QURA UNIVERSITY (SC),IP,MAKA22_00_402-MAKA22_00_402_IP1,Basic_Vip,VIP,25.8611111111111,42.4841666666667,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,JIZA03_41-JIZA03_41_IP212,Basic_Vip,VIP,16.924897,42.57329,,,1,,0,0,CIRCUIT,1,FIBER,UP
AL JOMAIH AUTOMOTIVE COMPANY,DIA,JEDDAH-RIYADH_DIA726,Basic_Vip,VIP,21.581606,39.163457,SALAMAH,JEDDAH,1,WESTERN,0,0,CIRCUIT,1,--,--
ROYAL PALACE-KING ABDULLAH BIN ABDULAZIZ (SC),DIA,JEDDAH-MAKKAH_DIA171,Basic_Vip,VIP,21.4311111111111,39.83,MANSOUR,MAKKAH,3,WESTERN,0,0,CIRCUIT,1,--,--
ZAKAT AND INCOME TAX (SC),IP,MSRFKHAR-MSRFKHAR_IP3,Basic_Vip,VIP,21.455565,39.83886,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-PRISON (SC),IP,SLMNRDEE-SLMNRDEE_IP2,Basic_Vip,VIP,24.6816666666667,46.7091666666667,MALAZ,RIYADH,3,CENTRAL,0,0,CIRCUIT,1,--,--
NADEC (SC),IP,ASIN44_00_411-ASIN44_00_411_IP5,Basic_Vip,VIP,24.070278,47.173611,AL,RIYADHDISTRICTS,3,CENTRAL,0,0,CIRCUIT,1,--,--
NATIONAL COMMERCIAL BANK,WDM,JEDDAH-JEDDAH_WDM2,Basic_Vip,VIP,23.4975,39.1886111111111,,,,,,0,CIRCUIT,0,--,--
SAMIS - PUBLIC SECURITY,IP,MAKKAH-MAKKAH_IP1134,Basic,HAJJ,21.4077972222222,39.886225,,,,,,0,CIRCUIT,0,--,--
MODA-PRESIDENCY OF CIVIL AVIATION (SC),DIA,JEDDAH-JEDDAH_DIA155,Basic_Vip,VIP,21.6618055555556,39.1470833333333,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INFORMATION-HEAD QUARTER (SC),IP,MAKA26-MAKA26_IP1,Basic,HAJJ,21.348333,39.935,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF HEALTH (SC),DIAS,JEDDAH-MAKKAH_DIAS16,Basic,HAJJ,21.4056138888889,39.8885472222222,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-CIVIL DEFENCE (SC),IP,BAHR92_11_104-BAHR92_11_104_IP4,Basic,HAJJ,21.446501,39.553405,,,,,,0,CIRCUIT,0,--,--
